fiscal_year,fiscal_year_start,sex,triage_level,ctas_urgency_score,age_group,population_category,ed_visits,median_los_minutes,median_los_hours,is_suppressed
2017-2018,2017,Male,CTAS I - Resuscitation,1,45-64,Middle Adult,14280,258.0,4.3,0
2017-2018,2017,Male,CTAS I - Resuscitation,1,65+,Older Adult,19022,300.0,5.0,0
2017-2018,2017,Female,CTAS II - Emergent,2,0-19,Pediatric & Youth,164301,198.0,3.3,0
2017-2018,2017,Female,CTAS II - Emergent,2,20-44,Young Adult,297375,252.0,4.2,0
2017-2018,2017,Female,CTAS II - Emergent,2,45-64,Middle Adult,255749,282.0,4.7,0
2017-2018,2017,Female,CTAS II - Emergent,2,65+,Older Adult,292722,372.0,6.2,0
2017-2018,2017,Male,CTAS II - Emergent,2,0-19,Pediatric & Youth,183354,186.0,3.1,0
2017-2018,2017,Male,CTAS II - Emergent,2,20-44,Young Adult,266575,246.0,4.1,0
2017-2018,2017,Male,CTAS II - Emergent,2,45-64,Middle Adult,280439,294.0,4.9,0
2017-2018,2017,Male,CTAS II - Emergent,2,65+,Older Adult,277869,378.0,6.3,0
2017-2018,2017,Female,CTAS III - Urgent,3,0-19,Pediatric & Youth,507748,150.0,2.5,0
2017-2018,2017,Female,Less urgent,3,0-19,Pediatric & Youth,457659,108.0,1.8,0
2017-2018,2017,Female,Non-urgent,3,0-19,Pediatric & Youth,68269,90.0,1.5,0
2017-2018,2017,Female,Unknown,3,0-19,Pediatric & Youth,10732,66.0,1.1,0
2017-2018,2017,Female,CTAS III - Urgent,3,20-44,Young Adult,940305,192.0,3.2,0
2017-2018,2017,Female,Less urgent,3,20-44,Young Adult,627585,120.0,2.0,0
2017-2018,2017,Female,Non-urgent,3,20-44,Young Adult,123999,96.0,1.6,0
2017-2018,2017,Female,Unknown,3,20-44,Young Adult,19671,78.0,1.3,0
2017-2018,2017,Female,CTAS III - Urgent,3,45-64,Middle Adult,612925,210.0,3.5,0
2017-2018,2017,Female,Less urgent,3,45-64,Middle Adult,404675,120.0,2.0,0
2017-2018,2017,Female,Non-urgent,3,45-64,Middle Adult,82379,90.0,1.5,0
2017-2018,2017,Female,Unknown,3,45-64,Middle Adult,11864,78.0,1.3,0
2017-2018,2017,Female,CTAS III - Urgent,3,65+,Older Adult,658426,282.0,4.7,0
2017-2018,2017,Female,Less urgent,3,65+,Older Adult,298338,144.0,2.4,0
2017-2018,2017,Female,Non-urgent,3,65+,Older Adult,59768,96.0,1.6,0
2017-2018,2017,Female,Unknown,3,65+,Older Adult,9361,108.0,1.8,0
2017-2018,2017,Male,CTAS III - Urgent,3,0-19,Pediatric & Youth,526835,144.0,2.4,0
2017-2018,2017,Male,Less urgent,3,0-19,Pediatric & Youth,491249,108.0,1.8,0
2017-2018,2017,Male,Non-urgent,3,0-19,Pediatric & Youth,72697,90.0,1.5,0
2017-2018,2017,Male,Unknown,3,0-19,Pediatric & Youth,11271,66.0,1.1,0
2017-2018,2017,Male,CTAS III - Urgent,3,20-44,Young Adult,676845,180.0,3.0,0
2017-2018,2017,Male,Less urgent,3,20-44,Young Adult,579695,114.0,1.9,0
2017-2018,2017,Male,Non-urgent,3,20-44,Young Adult,124152,90.0,1.5,0
2017-2018,2017,Male,Unknown,3,20-44,Young Adult,16598,72.0,1.2,0
2017-2018,2017,Male,CTAS III - Urgent,3,45-64,Middle Adult,561393,210.0,3.5,0
2017-2018,2017,Male,Less urgent,3,45-64,Middle Adult,399274,120.0,2.0,0
2017-2018,2017,Male,Non-urgent,3,45-64,Middle Adult,94876,84.0,1.4,0
2017-2018,2017,Male,Unknown,3,45-64,Middle Adult,12908,72.0,1.2,0
2017-2018,2017,Male,CTAS III - Urgent,3,65+,Older Adult,535007,276.0,4.6,0
2017-2018,2017,Male,Less urgent,3,65+,Older Adult,261495,138.0,2.3,0
2017-2018,2017,Male,Non-urgent,3,65+,Older Adult,62895,84.0,1.4,0
2017-2018,2017,Male,Unknown,3,65+,Older Adult,9639,96.0,1.6,0
2016-2017,2016,Female,CTAS I - Resuscitation,1,0-19,Pediatric & Youth,4889,234.0,3.9,0
2016-2017,2016,Female,CTAS I - Resuscitation,1,20-44,Young Adult,6872,276.0,4.6,0
2016-2017,2016,Female,CTAS I - Resuscitation,1,45-64,Middle Adult,8043,276.0,4.6,0
2016-2017,2016,Female,CTAS I - Resuscitation,1,65+,Older Adult,15779,354.0,5.9,0
2016-2017,2016,Male,CTAS I - Resuscitation,1,0-19,Pediatric & Youth,6670,228.0,3.8,0
2016-2017,2016,Male,CTAS I - Resuscitation,1,20-44,Young Adult,11756,270.0,4.5,0
2016-2017,2016,Male,CTAS I - Resuscitation,1,45-64,Middle Adult,13499,246.0,4.1,0
2016-2017,2016,Male,CTAS I - Resuscitation,1,65+,Older Adult,18077,300.0,5.0,0
2016-2017,2016,Female,CTAS II - Emergent,2,0-19,Pediatric & Youth,147884,198.0,3.3,0
2016-2017,2016,Female,CTAS II - Emergent,2,20-44,Young Adult,281055,246.0,4.1,0
2016-2017,2016,Female,CTAS II - Emergent,2,45-64,Middle Adult,249357,282.0,4.7,0
2016-2017,2016,Female,CTAS II - Emergent,2,65+,Older Adult,284116,372.0,6.2,0
2016-2017,2016,Male,CTAS II - Emergent,2,0-19,Pediatric & Youth,166637,180.0,3.0,0
2016-2017,2016,Male,CTAS II - Emergent,2,20-44,Young Adult,253401,240.0,4.0,0
2016-2017,2016,Male,CTAS II - Emergent,2,45-64,Middle Adult,273259,288.0,4.8,0
2016-2017,2016,Male,CTAS II - Emergent,2,65+,Older Adult,268800,372.0,6.2,0
2016-2017,2016,Female,CTAS III - Urgent,3,0-19,Pediatric & Youth,495799,144.0,2.4,0
2016-2017,2016,Female,Less urgent,3,0-19,Pediatric & Youth,468511,102.0,1.7,0
2016-2017,2016,Female,Non-urgent,3,0-19,Pediatric & Youth,59928,84.0,1.4,0
2016-2017,2016,Female,Unknown,3,0-19,Pediatric & Youth,11400,66.0,1.1,0
2016-2017,2016,Female,CTAS III - Urgent,3,20-44,Young Adult,912141,192.0,3.2,0
2016-2017,2016,Female,Less urgent,3,20-44,Young Adult,639603,114.0,1.9,0
2016-2017,2016,Female,Non-urgent,3,20-44,Young Adult,116674,90.0,1.5,0
2016-2017,2016,Female,Unknown,3,20-44,Young Adult,20023,72.0,1.2,0
2016-2017,2016,Female,CTAS III - Urgent,3,45-64,Middle Adult,595587,204.0,3.4,0
2016-2017,2016,Female,Less urgent,3,45-64,Middle Adult,412078,114.0,1.9,0
2016-2017,2016,Female,Non-urgent,3,45-64,Middle Adult,77295,84.0,1.4,0
2016-2017,2016,Female,Unknown,3,45-64,Middle Adult,12378,78.0,1.3,0
2016-2017,2016,Female,CTAS III - Urgent,3,65+,Older Adult,634197,282.0,4.7,0
2016-2017,2016,Female,Less urgent,3,65+,Older Adult,293217,138.0,2.3,0
2016-2017,2016,Female,Non-urgent,3,65+,Older Adult,54461,90.0,1.5,0
2016-2017,2016,Female,Unknown,3,65+,Older Adult,9503,96.0,1.6,0
2016-2017,2016,Male,CTAS III - Urgent,3,0-19,Pediatric & Youth,509038,138.0,2.3,0
2016-2017,2016,Male,Less urgent,3,0-19,Pediatric & Youth,498511,102.0,1.7,0
2016-2017,2016,Male,Non-urgent,3,0-19,Pediatric & Youth,62485,84.0,1.4,0
2016-2017,2016,Male,Unknown,3,0-19,Pediatric & Youth,11700,66.0,1.1,0
2016-2017,2016,Male,CTAS III - Urgent,3,20-44,Young Adult,654334,174.0,2.9,0
2016-2017,2016,Male,Less urgent,3,20-44,Young Adult,591982,114.0,1.9,0
2016-2017,2016,Male,Non-urgent,3,20-44,Young Adult,117024,90.0,1.5,0
2016-2017,2016,Male,Unknown,3,20-44,Young Adult,16392,72.0,1.2,0
2016-2017,2016,Male,CTAS III - Urgent,3,45-64,Middle Adult,543421,204.0,3.4,0
2016-2017,2016,Male,Less urgent,3,45-64,Middle Adult,401881,114.0,1.9,0
2016-2017,2016,Male,Non-urgent,3,45-64,Middle Adult,90037,84.0,1.4,0
2016-2017,2016,Male,Unknown,3,45-64,Middle Adult,13188,72.0,1.2,0
2016-2017,2016,Male,CTAS III - Urgent,3,65+,Older Adult,515364,270.0,4.5,0
2016-2017,2016,Male,Less urgent,3,65+,Older Adult,255476,132.0,2.2,0
2016-2017,2016,Male,Non-urgent,3,65+,Older Adult,59017,78.0,1.3,0
2016-2017,2016,Male,Unknown,3,65+,Older Adult,9585,84.0,1.4,0
2015-2016,2015,Female,CTAS I - Resuscitation,1,0-19,Pediatric & Youth,4555,234.0,3.9,0
2015-2016,2015,Female,CTAS I - Resuscitation,1,20-44,Young Adult,6782,276.0,4.6,0
2015-2016,2015,Female,CTAS I - Resuscitation,1,45-64,Middle Adult,8031,288.0,4.8,0
2015-2016,2015,Female,CTAS I - Resuscitation,1,65+,Older Adult,15200,348.0,5.8,0
