fiscal_year,fiscal_year_start,sex,triage_level,ctas_urgency_score,age_group,population_category,ed_visits,median_los_minutes,median_los_hours
2017-2018,2017,Male,Less urgent,3,0-19,Pediatric & Youth,491249,108,1.8
2017-2018,2017,Male,Non-urgent,3,0-19,Pediatric & Youth,72697,90,1.5
2017-2018,2017,Male,Unknown,3,0-19,Pediatric & Youth,11271,66,1.1
2017-2018,2017,Male,CTAS III - Urgent,3,20-44,Young Adult,676845,180,3.0
2017-2018,2017,Male,Less urgent,3,20-44,Young Adult,579695,114,1.9
2017-2018,2017,Male,Non-urgent,3,20-44,Young Adult,124152,90,1.5
2017-2018,2017,Male,Unknown,3,20-44,Young Adult,16598,72,1.2
2017-2018,2017,Male,CTAS III - Urgent,3,45-64,Middle Adult,561393,210,3.5
2017-2018,2017,Male,Less urgent,3,45-64,Middle Adult,399274,120,2.0
2017-2018,2017,Male,Non-urgent,3,45-64,Middle Adult,94876,84,1.4
2017-2018,2017,Male,Unknown,3,45-64,Middle Adult,12908,72,1.2
2017-2018,2017,Male,CTAS III - Urgent,3,65+,Older Adult,535007,276,4.6
2017-2018,2017,Male,Less urgent,3,65+,Older Adult,261495,138,2.3
2017-2018,2017,Male,Non-urgent,3,65+,Older Adult,62895,84,1.4
2017-2018,2017,Male,Unknown,3,65+,Older Adult,9639,96,1.6
2016-2017,2016,Female,CTAS I - Resuscitation,1,0-19,Pediatric & Youth,4889,234,3.9
2016-2017,2016,Female,CTAS I - Resuscitation,1,20-44,Young Adult,6872,276,4.6
2016-2017,2016,Female,CTAS I - Resuscitation,1,45-64,Middle Adult,8043,276,4.6
2016-2017,2016,Female,CTAS I - Resuscitation,1,65+,Older Adult,15779,354,5.9
2016-2017,2016,Male,CTAS I - Resuscitation,1,0-19,Pediatric & Youth,6670,228,3.8
2016-2017,2016,Male,CTAS I - Resuscitation,1,20-44,Young Adult,11756,270,4.5
2016-2017,2016,Male,CTAS I - Resuscitation,1,45-64,Middle Adult,13499,246,4.1
2016-2017,2016,Male,CTAS I - Resuscitation,1,65+,Older Adult,18077,300,5.0
2016-2017,2016,Female,CTAS II - Emergent,2,0-19,Pediatric & Youth,147884,198,3.3
2016-2017,2016,Female,CTAS II - Emergent,2,20-44,Young Adult,281055,246,4.1
2016-2017,2016,Female,CTAS II - Emergent,2,45-64,Middle Adult,249357,282,4.7
2016-2017,2016,Female,CTAS II - Emergent,2,65+,Older Adult,284116,372,6.2
2016-2017,2016,Male,CTAS II - Emergent,2,0-19,Pediatric & Youth,166637,180,3.0
2016-2017,2016,Male,CTAS II - Emergent,2,20-44,Young Adult,253401,240,4.0
2016-2017,2016,Male,CTAS II - Emergent,2,45-64,Middle Adult,273259,288,4.8
2016-2017,2016,Male,CTAS II - Emergent,2,65+,Older Adult,268800,372,6.2
2016-2017,2016,Female,CTAS III - Urgent,3,0-19,Pediatric & Youth,495799,144,2.4
2016-2017,2016,Female,Less urgent,3,0-19,Pediatric & Youth,468511,102,1.7
2016-2017,2016,Female,Non-urgent,3,0-19,Pediatric & Youth,59928,84,1.4
2016-2017,2016,Female,Unknown,3,0-19,Pediatric & Youth,11400,66,1.1
2016-2017,2016,Female,CTAS III - Urgent,3,20-44,Young Adult,912141,192,3.2
2016-2017,2016,Female,Less urgent,3,20-44,Young Adult,639603,114,1.9
2016-2017,2016,Female,Non-urgent,3,20-44,Young Adult,116674,90,1.5
2016-2017,2016,Female,Unknown,3,20-44,Young Adult,20023,72,1.2
2016-2017,2016,Female,CTAS III - Urgent,3,45-64,Middle Adult,595587,204,3.4
2016-2017,2016,Female,Less urgent,3,45-64,Middle Adult,412078,114,1.9
2016-2017,2016,Female,Non-urgent,3,45-64,Middle Adult,77295,84,1.4
2016-2017,2016,Female,Unknown,3,45-64,Middle Adult,12378,78,1.3
2016-2017,2016,Female,CTAS III - Urgent,3,65+,Older Adult,634197,282,4.7
2016-2017,2016,Female,Less urgent,3,65+,Older Adult,293217,138,2.3
2016-2017,2016,Female,Non-urgent,3,65+,Older Adult,54461,90,1.5
2016-2017,2016,Female,Unknown,3,65+,Older Adult,9503,96,1.6
2016-2017,2016,Male,CTAS III - Urgent,3,0-19,Pediatric & Youth,509038,138,2.3
2016-2017,2016,Male,Less urgent,3,0-19,Pediatric & Youth,498511,102,1.7
2016-2017,2016,Male,Non-urgent,3,0-19,Pediatric & Youth,62485,84,1.4
2016-2017,2016,Male,Unknown,3,0-19,Pediatric & Youth,11700,66,1.1
2016-2017,2016,Male,CTAS III - Urgent,3,20-44,Young Adult,654334,174,2.9
2016-2017,2016,Male,Less urgent,3,20-44,Young Adult,591982,114,1.9
2016-2017,2016,Male,Non-urgent,3,20-44,Young Adult,117024,90,1.5
2016-2017,2016,Male,Unknown,3,20-44,Young Adult,16392,72,1.2
2016-2017,2016,Male,CTAS III - Urgent,3,45-64,Middle Adult,543421,204,3.4
2016-2017,2016,Male,Less urgent,3,45-64,Middle Adult,401881,114,1.9
2016-2017,2016,Male,Non-urgent,3,45-64,Middle Adult,90037,84,1.4
2016-2017,2016,Male,Unknown,3,45-64,Middle Adult,13188,72,1.2
2016-2017,2016,Male,CTAS III - Urgent,3,65+,Older Adult,515364,270,4.5
2016-2017,2016,Male,Less urgent,3,65+,Older Adult,255476,132,2.2
2016-2017,2016,Male,Non-urgent,3,65+,Older Adult,59017,78,1.3
2016-2017,2016,Male,Unknown,3,65+,Older Adult,9585,84,1.4
2015-2016,2015,Female,CTAS I - Resuscitation,1,0-19,Pediatric & Youth,4555,234,3.9
2015-2016,2015,Female,CTAS I - Resuscitation,1,20-44,Young Adult,6782,276,4.6
2015-2016,2015,Female,CTAS I - Resuscitation,1,45-64,Middle Adult,8031,288,4.8
2015-2016,2015,Female,CTAS I - Resuscitation,1,65+,Older Adult,15200,348,5.8
2015-2016,2015,Male,CTAS I - Resuscitation,1,0-19,Pediatric & Youth,6408,228,3.8
2015-2016,2015,Male,CTAS I - Resuscitation,1,20-44,Young Adult,11135,270,4.5
2015-2016,2015,Male,CTAS I - Resuscitation,1,45-64,Middle Adult,13332,252,4.2
2015-2016,2015,Male,CTAS I - Resuscitation,1,65+,Older Adult,16779,300,5.0
2015-2016,2015,Female,CTAS II - Emergent,2,0-19,Pediatric & Youth,141170,198,3.3
2015-2016,2015,Female,CTAS II - Emergent,2,20-44,Young Adult,268904,246,4.1
2015-2016,2015,Female,CTAS II - Emergent,2,45-64,Middle Adult,241641,282,4.7
2015-2016,2015,Female,CTAS II - Emergent,2,65+,Older Adult,273103,372,6.2
2015-2016,2015,Male,CTAS II - Emergent,2,0-19,Pediatric & Youth,161394,180,3.0
2015-2016,2015,Male,CTAS II - Emergent,2,20-44,Young Adult,241952,240,4.0
2015-2016,2015,Male,CTAS II - Emergent,2,45-64,Middle Adult,263551,294,4.9
2015-2016,2015,Male,CTAS II - Emergent,2,65+,Older Adult,254805,372,6.2
2015-2016,2015,Female,CTAS III - Urgent,3,0-19,Pediatric & Youth,495037,144,2.4
2015-2016,2015,Female,Less urgent,3,0-19,Pediatric & Youth,482801,102,1.7
2015-2016,2015,Female,Non-urgent,3,0-19,Pediatric & Youth,64815,84,1.4
2015-2016,2015,Female,Unknown,3,0-19,Pediatric & Youth,13265,66,1.1
2015-2016,2015,Female,CTAS III - Urgent,3,20-44,Young Adult,906338,186,3.1
2015-2016,2015,Female,Less urgent,3,20-44,Young Adult,656801,114,1.9
2015-2016,2015,Female,Non-urgent,3,20-44,Young Adult,122008,84,1.4
2015-2016,2015,Female,Unknown,3,20-44,Young Adult,22803,72,1.2
2015-2016,2015,Female,CTAS III - Urgent,3,45-64,Middle Adult,580439,204,3.4
2015-2016,2015,Female,Less urgent,3,45-64,Middle Adult,415058,114,1.9
2015-2016,2015,Female,Non-urgent,3,45-64,Middle Adult,81133,84,1.4
2015-2016,2015,Female,Unknown,3,45-64,Middle Adult,13804,72,1.2
2015-2016,2015,Female,CTAS III - Urgent,3,65+,Older Adult,605599,276,4.6
2015-2016,2015,Female,Less urgent,3,65+,Older Adult,287768,138,2.3
2015-2016,2015,Female,Non-urgent,3,65+,Older Adult,56419,84,1.4
2015-2016,2015,Female,Unknown,3,65+,Older Adult,10215,90,1.5
