fiscal_year,fiscal_year_start,triage_level,ctas_urgency_score,visit_disposition,main_problem,admission_status,ed_visits,median_los_minutes,median_los_hours,admission_flag,erbi
2021-2022,2021,CTAS I - Resuscitation,1,Discharged Home,Influenzal Pneumonia,Not Admitted,0,0,0.0,0,0
2021-2022,2021,CTAS I - Resuscitation,1,Discharged Home,Motor Vehicle Collisions,Not Admitted,752,294,4.9,0,221088
2021-2022,2021,CTAS I - Resuscitation,1,Discharged Home,Pneumonia,Not Admitted,353,198,3.3,0,69894
2021-2022,2021,CTAS I - Resuscitation,1,Discharged Home,Trauma,Not Admitted,4095,258,4.3,0,1056510
2021-2022,2021,CTAS I - Resuscitation,1,Discharged Home,Unintentional Falls,Not Admitted,760,264,4.4,0,200640
2021-2022,2021,CTAS I - Resuscitation,1,Intra-Facility Transfer,Acute Myocardial Infarction,Not Admitted,158,33,0.55,0,5214
2021-2022,2021,CTAS I - Resuscitation,1,Intra-Facility Transfer,Asthma,Not Admitted,9,102,1.7,0,918
2021-2022,2021,CTAS I - Resuscitation,1,Intra-Facility Transfer,Influenzal Pneumonia,Not Admitted,0,0,0.0,0,0
2021-2022,2021,CTAS I - Resuscitation,1,Intra-Facility Transfer,Motor Vehicle Collisions,Not Admitted,16,237,3.95,0,3792
2021-2022,2021,CTAS I - Resuscitation,1,Intra-Facility Transfer,Pneumonia,Not Admitted,5,222,3.7,0,1110
2021-2022,2021,CTAS I - Resuscitation,1,Intra-Facility Transfer,Trauma,Not Admitted,87,144,2.4,0,12528
2021-2022,2021,CTAS I - Resuscitation,1,Intra-Facility Transfer,Unintentional Falls,Not Admitted,15,150,2.5,0,2250
2021-2022,2021,CTAS I - Resuscitation,1,Not Seen Or Left,Acute Myocardial Infarction,Not Admitted,0,411,6.85,0,0
2021-2022,2021,CTAS I - Resuscitation,1,Not Seen Or Left,Asthma,Not Admitted,9,180,3.0,0,1620
2021-2022,2021,CTAS I - Resuscitation,1,Not Seen Or Left,Influenzal Pneumonia,Not Admitted,0,0,0.0,0,0
2021-2022,2021,CTAS I - Resuscitation,1,Not Seen Or Left,Motor Vehicle Collisions,Not Admitted,22,213,3.55,0,4686
2021-2022,2021,CTAS I - Resuscitation,1,Not Seen Or Left,Pneumonia,Not Admitted,7,222,3.7,0,1554
2021-2022,2021,CTAS I - Resuscitation,1,Not Seen Or Left,Trauma,Not Admitted,138,228,3.8,0,31464
2021-2022,2021,CTAS I - Resuscitation,1,Not Seen Or Left,Unintentional Falls,Not Admitted,24,372,6.2,0,8928
2021-2022,2021,CTAS I - Resuscitation,1,Transferred,Acute Myocardial Infarction,Not Admitted,554,78,1.3,0,43212
2021-2022,2021,CTAS I - Resuscitation,1,Transferred,Asthma,Not Admitted,146,327,5.45,0,47742
2021-2022,2021,CTAS I - Resuscitation,1,Transferred,Influenzal Pneumonia,Not Admitted,0,198,3.3,0,0
2021-2022,2021,CTAS I - Resuscitation,1,Transferred,Motor Vehicle Collisions,Not Admitted,581,120,2.0,0,69720
2021-2022,2021,CTAS I - Resuscitation,1,Transferred,Pneumonia,Not Admitted,227,300,5.0,0,68100
2021-2022,2021,CTAS I - Resuscitation,1,Transferred,Trauma,Not Admitted,1758,156,2.6,0,274248
2021-2022,2021,CTAS I - Resuscitation,1,Transferred,Unintentional Falls,Not Admitted,400,192,3.2,0,76800
2021-2022,2021,CTAS I - Resuscitation,1,Unknown,Acute Myocardial Infarction,Not Admitted,0,0,0.0,0,0
2021-2022,2021,CTAS I - Resuscitation,1,Unknown,Asthma,Not Admitted,0,0,0.0,0,0
