fiscal_year,fiscal_year_start,triage_level,ctas_urgency_score,visit_disposition,main_problem,admission_status,ed_visits,median_los_minutes,median_los_hours,admission_flag
2010-2011,2010,CTAS II - Emergent,2,Transferred,Asthma,Not Admitted,345,286,4.77,0
2010-2011,2010,CTAS II - Emergent,2,Transferred,Influenzal Pneumonia,Not Admitted,0,688,11.47,0
2010-2011,2010,CTAS II - Emergent,2,Transferred,Motor Vehicle Collisions,Not Admitted,1635,198,3.3,0
2010-2011,2010,CTAS II - Emergent,2,Transferred,Pneumonia,Not Admitted,850,256,4.27,0
2010-2011,2010,CTAS II - Emergent,2,Transferred,Trauma,Not Admitted,5706,191,3.18,0
2010-2011,2010,CTAS II - Emergent,2,Transferred,Unintentional Falls,Not Admitted,2012,223,3.72,0
2010-2011,2010,CTAS II - Emergent,2,Unknown,Acute Myocardial Infarction,Not Admitted,0,0,0.0,0
2010-2011,2010,CTAS II - Emergent,2,Unknown,Any,Not Admitted,0,0,0.0,0
2010-2011,2010,CTAS II - Emergent,2,Unknown,Asthma,Not Admitted,0,0,0.0,0
2010-2011,2010,CTAS II - Emergent,2,Unknown,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2010-2011,2010,CTAS II - Emergent,2,Unknown,Motor Vehicle Collisions,Not Admitted,0,0,0.0,0
2010-2011,2010,CTAS II - Emergent,2,Unknown,Pneumonia,Not Admitted,0,0,0.0,0
2010-2011,2010,CTAS II - Emergent,2,Unknown,Trauma,Not Admitted,0,0,0.0,0
2010-2011,2010,CTAS II - Emergent,2,Unknown,Unintentional Falls,Not Admitted,0,0,0.0,0
2010-2011,2010,CTAS III - Urgent,3,Admitted,Acute Myocardial Infarction,Admitted,4018,591,9.85,1
2010-2011,2010,Less urgent,3,Admitted,Acute Myocardial Infarction,Admitted,391,430,7.17,1
2010-2011,2010,Non-urgent,3,Admitted,Acute Myocardial Infarction,Admitted,22,352,5.87,1
2010-2011,2010,Unknown,3,Admitted,Acute Myocardial Infarction,Admitted,74,216,3.6,1
2010-2011,2010,CTAS III - Urgent,3,Admitted,Any,Admitted,351882,595,9.92,1
2010-2011,2010,Less urgent,3,Admitted,Any,Admitted,63916,373,6.22,1
2010-2011,2010,Non-urgent,3,Admitted,Any,Admitted,7248,255,4.25,1
2010-2011,2010,Unknown,3,Admitted,Any,Admitted,7699,137,2.28,1
2010-2011,2010,CTAS III - Urgent,3,Admitted,Asthma,Admitted,1774,530,8.83,1
2010-2011,2010,Less urgent,3,Admitted,Asthma,Admitted,176,238,3.97,1
2010-2011,2010,Non-urgent,3,Admitted,Asthma,Admitted,18,98,1.63,1
2010-2011,2010,Unknown,3,Admitted,Asthma,Admitted,41,130,2.17,1
2010-2011,2010,CTAS III - Urgent,3,Admitted,Influenzal Pneumonia,Admitted,37,932,15.53,1
2010-2011,2010,Less urgent,3,Admitted,Influenzal Pneumonia,Admitted,7,183,3.05,1
2010-2011,2010,Non-urgent,3,Admitted,Influenzal Pneumonia,Admitted,0,0,0.0,1
2010-2011,2010,Unknown,3,Admitted,Influenzal Pneumonia,Admitted,0,0,0.0,1
2010-2011,2010,CTAS III - Urgent,3,Admitted,Motor Vehicle Collisions,Admitted,2826,373,6.22,1
2010-2011,2010,Less urgent,3,Admitted,Motor Vehicle Collisions,Admitted,536,342,5.7,1
2010-2011,2010,Non-urgent,3,Admitted,Motor Vehicle Collisions,Admitted,51,189,3.15,1
2010-2011,2010,Unknown,3,Admitted,Motor Vehicle Collisions,Admitted,87,129,2.15,1
2010-2011,2010,CTAS III - Urgent,3,Admitted,Pneumonia,Admitted,14310,685,11.42,1
2010-2011,2010,Less urgent,3,Admitted,Pneumonia,Admitted,1958,324,5.4,1
2010-2011,2010,Non-urgent,3,Admitted,Pneumonia,Admitted,179,190,3.17,1
2010-2011,2010,Unknown,3,Admitted,Pneumonia,Admitted,279,147,2.45,1
2010-2011,2010,CTAS III - Urgent,3,Admitted,Trauma,Admitted,35975,480,8.0,1
2010-2011,2010,Less urgent,3,Admitted,Trauma,Admitted,8310,365,6.08,1
2010-2011,2010,Non-urgent,3,Admitted,Trauma,Admitted,560,260,4.33,1
2010-2011,2010,Unknown,3,Admitted,Trauma,Admitted,515,155,2.58,1
2010-2011,2010,CTAS III - Urgent,3,Admitted,Unintentional Falls,Admitted,25527,512,8.53,1
2010-2011,2010,Less urgent,3,Admitted,Unintentional Falls,Admitted,5330,387,6.45,1
2010-2011,2010,Non-urgent,3,Admitted,Unintentional Falls,Admitted,259,252,4.2,1
2010-2011,2010,Unknown,3,Admitted,Unintentional Falls,Admitted,277,169,2.82,1
2010-2011,2010,CTAS III - Urgent,3,Death,Acute Myocardial Infarction,Not Admitted,34,164,2.73,0
2010-2011,2010,Less urgent,3,Death,Acute Myocardial Infarction,Not Admitted,7,97,1.62,0
2010-2011,2010,Non-urgent,3,Death,Acute Myocardial Infarction,Not Admitted,8,9,0.15,0
2010-2011,2010,Unknown,3,Death,Acute Myocardial Infarction,Not Admitted,10,116,1.93,0
2010-2011,2010,CTAS III - Urgent,3,Death,Any,Not Admitted,467,286,4.77,0
2010-2011,2010,Less urgent,3,Death,Any,Not Admitted,140,105,1.75,0
2010-2011,2010,Non-urgent,3,Death,Any,Not Admitted,169,15,0.25,0
2010-2011,2010,Unknown,3,Death,Any,Not Admitted,199,15,0.25,0
2010-2011,2010,CTAS III - Urgent,3,Death,Asthma,Not Admitted,0,64,1.07,0
2010-2011,2010,Less urgent,3,Death,Asthma,Not Admitted,0,0,0.0,0
2010-2011,2010,Non-urgent,3,Death,Asthma,Not Admitted,0,0,0.0,0
2010-2011,2010,Unknown,3,Death,Asthma,Not Admitted,0,0,0.0,0
2010-2011,2010,CTAS III - Urgent,3,Death,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2010-2011,2010,Less urgent,3,Death,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2010-2011,2010,Non-urgent,3,Death,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2010-2011,2010,Unknown,3,Death,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2010-2011,2010,CTAS III - Urgent,3,Death,Motor Vehicle Collisions,Not Admitted,0,114,1.9,0
2010-2011,2010,Less urgent,3,Death,Motor Vehicle Collisions,Not Admitted,0,105,1.75,0
2010-2011,2010,Non-urgent,3,Death,Motor Vehicle Collisions,Not Admitted,0,17,0.28,0
2010-2011,2010,Unknown,3,Death,Motor Vehicle Collisions,Not Admitted,16,17,0.28,0
2010-2011,2010,CTAS III - Urgent,3,Death,Pneumonia,Not Admitted,21,260,4.33,0
2010-2011,2010,Less urgent,3,Death,Pneumonia,Not Admitted,0,333,5.55,0
2010-2011,2010,Non-urgent,3,Death,Pneumonia,Not Admitted,0,25,0.42,0
2010-2011,2010,Unknown,3,Death,Pneumonia,Not Admitted,0,0,0.0,0
2010-2011,2010,CTAS III - Urgent,3,Death,Trauma,Not Admitted,27,252,4.2,0
2010-2011,2010,Less urgent,3,Death,Trauma,Not Admitted,16,70,1.17,0
2010-2011,2010,Non-urgent,3,Death,Trauma,Not Admitted,12,26,0.43,0
2010-2011,2010,Unknown,3,Death,Trauma,Not Admitted,25,8,0.13,0
2010-2011,2010,CTAS III - Urgent,3,Death,Unintentional Falls,Not Admitted,14,314,5.23,0
2010-2011,2010,Less urgent,3,Death,Unintentional Falls,Not Admitted,0,126,2.1,0
2010-2011,2010,Non-urgent,3,Death,Unintentional Falls,Not Admitted,0,122,2.03,0
2010-2011,2010,Unknown,3,Death,Unintentional Falls,Not Admitted,0,0,0.0,0
2010-2011,2010,CTAS III - Urgent,3,Discharged Home,Acute Myocardial Infarction,Not Admitted,232,347,5.78,0
2010-2011,2010,Less urgent,3,Discharged Home,Acute Myocardial Infarction,Not Admitted,45,180,3.0,0
2010-2011,2010,Non-urgent,3,Discharged Home,Acute Myocardial Infarction,Not Admitted,15,69,1.15,0
2010-2011,2010,Unknown,3,Discharged Home,Acute Myocardial Infarction,Not Admitted,17,156,2.6,0
2010-2011,2010,CTAS III - Urgent,3,Discharged Home,Any,Not Admitted,2518348,178,2.97,0
2010-2011,2010,Less urgent,3,Discharged Home,Any,Not Admitted,2870321,105,1.75,0
2010-2011,2010,Non-urgent,3,Discharged Home,Any,Not Admitted,695121,69,1.15,0
2010-2011,2010,Unknown,3,Discharged Home,Any,Not Admitted,147888,64,1.07,0
2010-2011,2010,CTAS III - Urgent,3,Discharged Home,Asthma,Not Admitted,31549,156,2.6,0
2010-2011,2010,Less urgent,3,Discharged Home,Asthma,Not Admitted,17255,100,1.67,0
2010-2011,2010,Non-urgent,3,Discharged Home,Asthma,Not Admitted,2701,70,1.17,0
2010-2011,2010,Unknown,3,Discharged Home,Asthma,Not Admitted,920,71,1.18,0
2010-2011,2010,CTAS III - Urgent,3,Discharged Home,Influenzal Pneumonia,Not Admitted,166,175,2.92,0
2010-2011,2010,Less urgent,3,Discharged Home,Influenzal Pneumonia,Not Admitted,129,122,2.03,0
2010-2011,2010,Non-urgent,3,Discharged Home,Influenzal Pneumonia,Not Admitted,10,117,1.95,0
2010-2011,2010,Unknown,3,Discharged Home,Influenzal Pneumonia,Not Admitted,8,72,1.2,0
2010-2011,2010,CTAS III - Urgent,3,Discharged Home,Motor Vehicle Collisions,Not Admitted,58900,147,2.45,0
2010-2011,2010,Less urgent,3,Discharged Home,Motor Vehicle Collisions,Not Admitted,55537,117,1.95,0
2010-2011,2010,Non-urgent,3,Discharged Home,Motor Vehicle Collisions,Not Admitted,4833,88,1.47,0
2010-2011,2010,Unknown,3,Discharged Home,Motor Vehicle Collisions,Not Admitted,1551,84,1.4,0
2010-2011,2010,CTAS III - Urgent,3,Discharged Home,Pneumonia,Not Admitted,36124,190,3.17,0
2010-2011,2010,Less urgent,3,Discharged Home,Pneumonia,Not Admitted,22739,126,2.1,0
2010-2011,2010,Non-urgent,3,Discharged Home,Pneumonia,Not Admitted,2294,86,1.43,0
2010-2011,2010,Unknown,3,Discharged Home,Pneumonia,Not Admitted,827,89,1.48,0
2010-2011,2010,CTAS III - Urgent,3,Discharged Home,Trauma,Not Admitted,503221,139,2.32,0
2010-2011,2010,Less urgent,3,Discharged Home,Trauma,Not Admitted,888244,109,1.82,0
2010-2011,2010,Non-urgent,3,Discharged Home,Trauma,Not Admitted,100200,82,1.37,0
2010-2011,2010,Unknown,3,Discharged Home,Trauma,Not Admitted,21287,72,1.2,0
2010-2011,2010,CTAS III - Urgent,3,Discharged Home,Unintentional Falls,Not Admitted,173548,158,2.63,0
2010-2011,2010,Less urgent,3,Discharged Home,Unintentional Falls,Not Admitted,244229,120,2.0,0
2010-2011,2010,Non-urgent,3,Discharged Home,Unintentional Falls,Not Admitted,19744,90,1.5,0
2010-2011,2010,Unknown,3,Discharged Home,Unintentional Falls,Not Admitted,4135,78,1.3,0
2010-2011,2010,CTAS III - Urgent,3,Intra-Facility Transfer,Acute Myocardial Infarction,Not Admitted,6,541,9.02,0
2010-2011,2010,Less urgent,3,Intra-Facility Transfer,Acute Myocardial Infarction,Not Admitted,0,159,2.65,0
2010-2011,2010,Non-urgent,3,Intra-Facility Transfer,Acute Myocardial Infarction,Not Admitted,0,0,0.0,0
2010-2011,2010,Unknown,3,Intra-Facility Transfer,Acute Myocardial Infarction,Not Admitted,0,0,0.0,0
2010-2011,2010,CTAS III - Urgent,3,Intra-Facility Transfer,Any,Not Admitted,9263,244,4.07,0
2010-2011,2010,Less urgent,3,Intra-Facility Transfer,Any,Not Admitted,4429,155,2.58,0
2010-2011,2010,Non-urgent,3,Intra-Facility Transfer,Any,Not Admitted,1267,67,1.12,0
2010-2011,2010,Unknown,3,Intra-Facility Transfer,Any,Not Admitted,184,85,1.42,0
2010-2011,2010,CTAS III - Urgent,3,Intra-Facility Transfer,Asthma,Not Admitted,36,176,2.93,0
2010-2011,2010,Less urgent,3,Intra-Facility Transfer,Asthma,Not Admitted,0,68,1.13,0
2010-2011,2010,Non-urgent,3,Intra-Facility Transfer,Asthma,Not Admitted,0,0,0.0,0
2010-2011,2010,Unknown,3,Intra-Facility Transfer,Asthma,Not Admitted,0,0,0.0,0
2010-2011,2010,CTAS III - Urgent,3,Intra-Facility Transfer,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2010-2011,2010,Less urgent,3,Intra-Facility Transfer,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2010-2011,2010,Non-urgent,3,Intra-Facility Transfer,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2010-2011,2010,Unknown,3,Intra-Facility Transfer,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2010-2011,2010,CTAS III - Urgent,3,Intra-Facility Transfer,Motor Vehicle Collisions,Not Admitted,127,150,2.5,0
2010-2011,2010,Less urgent,3,Intra-Facility Transfer,Motor Vehicle Collisions,Not Admitted,83,145,2.42,0
2010-2011,2010,Non-urgent,3,Intra-Facility Transfer,Motor Vehicle Collisions,Not Admitted,8,69,1.15,0
2010-2011,2010,Unknown,3,Intra-Facility Transfer,Motor Vehicle Collisions,Not Admitted,0,152,2.53,0
2010-2011,2010,CTAS III - Urgent,3,Intra-Facility Transfer,Pneumonia,Not Admitted,46,225,3.75,0
2010-2011,2010,Less urgent,3,Intra-Facility Transfer,Pneumonia,Not Admitted,10,416,6.93,0
2010-2011,2010,Non-urgent,3,Intra-Facility Transfer,Pneumonia,Not Admitted,0,0,0.0,0
2010-2011,2010,Unknown,3,Intra-Facility Transfer,Pneumonia,Not Admitted,0,406,6.77,0
2010-2011,2010,CTAS III - Urgent,3,Intra-Facility Transfer,Trauma,Not Admitted,1794,204,3.4,0
2010-2011,2010,Less urgent,3,Intra-Facility Transfer,Trauma,Not Admitted,1285,140,2.33,0
2010-2011,2010,Non-urgent,3,Intra-Facility Transfer,Trauma,Not Admitted,234,114,1.9,0
2010-2011,2010,Unknown,3,Intra-Facility Transfer,Trauma,Not Admitted,55,102,1.7,0
2010-2011,2010,CTAS III - Urgent,3,Intra-Facility Transfer,Unintentional Falls,Not Admitted,520,219,3.65,0
2010-2011,2010,Less urgent,3,Intra-Facility Transfer,Unintentional Falls,Not Admitted,428,144,2.4,0
2010-2011,2010,Non-urgent,3,Intra-Facility Transfer,Unintentional Falls,Not Admitted,58,114,1.9,0
2010-2011,2010,Unknown,3,Intra-Facility Transfer,Unintentional Falls,Not Admitted,14,79,1.32,0
2010-2011,2010,CTAS III - Urgent,3,Not Seen Or Left,Acute Myocardial Infarction,Not Admitted,26,293,4.88,0
2010-2011,2010,Less urgent,3,Not Seen Or Left,Acute Myocardial Infarction,Not Admitted,0,143,2.38,0
2010-2011,2010,Non-urgent,3,Not Seen Or Left,Acute Myocardial Infarction,Not Admitted,0,160,2.67,0
2010-2011,2010,Unknown,3,Not Seen Or Left,Acute Myocardial Infarction,Not Admitted,0,0,0.0,0
2010-2011,2010,CTAS III - Urgent,3,Not Seen Or Left,Any,Not Admitted,138764,143,2.38,0
2010-2011,2010,Less urgent,3,Not Seen Or Left,Any,Not Admitted,136794,121,2.02,0
2010-2011,2010,Non-urgent,3,Not Seen Or Left,Any,Not Admitted,31583,89,1.48,0
2010-2011,2010,Unknown,3,Not Seen Or Left,Any,Not Admitted,21685,62,1.03,0
2010-2011,2010,CTAS III - Urgent,3,Not Seen Or Left,Asthma,Not Admitted,518,129,2.15,0
2010-2011,2010,Less urgent,3,Not Seen Or Left,Asthma,Not Admitted,224,109,1.82,0
2010-2011,2010,Non-urgent,3,Not Seen Or Left,Asthma,Not Admitted,21,81,1.35,0
2010-2011,2010,Unknown,3,Not Seen Or Left,Asthma,Not Admitted,10,70,1.17,0
2010-2011,2010,CTAS III - Urgent,3,Not Seen Or Left,Influenzal Pneumonia,Not Admitted,0,335,5.58,0
2010-2011,2010,Less urgent,3,Not Seen Or Left,Influenzal Pneumonia,Not Admitted,0,129,2.15,0
2010-2011,2010,Non-urgent,3,Not Seen Or Left,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2010-2011,2010,Unknown,3,Not Seen Or Left,Influenzal Pneumonia,Not Admitted,0,205,3.42,0
2010-2011,2010,CTAS III - Urgent,3,Not Seen Or Left,Motor Vehicle Collisions,Not Admitted,1644,138,2.3,0
2010-2011,2010,Less urgent,3,Not Seen Or Left,Motor Vehicle Collisions,Not Admitted,1838,128,2.13,0
2010-2011,2010,Non-urgent,3,Not Seen Or Left,Motor Vehicle Collisions,Not Admitted,155,121,2.02,0
2010-2011,2010,Unknown,3,Not Seen Or Left,Motor Vehicle Collisions,Not Admitted,29,68,1.13,0
2010-2011,2010,CTAS III - Urgent,3,Not Seen Or Left,Pneumonia,Not Admitted,145,245,4.08,0
2010-2011,2010,Less urgent,3,Not Seen Or Left,Pneumonia,Not Admitted,55,167,2.78,0
2010-2011,2010,Non-urgent,3,Not Seen Or Left,Pneumonia,Not Admitted,9,77,1.28,0
2010-2011,2010,Unknown,3,Not Seen Or Left,Pneumonia,Not Admitted,6,54,0.9,0
2010-2011,2010,CTAS III - Urgent,3,Not Seen Or Left,Trauma,Not Admitted,15842,130,2.17,0
2010-2011,2010,Less urgent,3,Not Seen Or Left,Trauma,Not Admitted,30230,117,1.95,0
2010-2011,2010,Non-urgent,3,Not Seen Or Left,Trauma,Not Admitted,3905,87,1.45,0
2010-2011,2010,Unknown,3,Not Seen Or Left,Trauma,Not Admitted,916,24,0.4,0
2010-2011,2010,CTAS III - Urgent,3,Not Seen Or Left,Unintentional Falls,Not Admitted,4156,133,2.22,0
2010-2011,2010,Less urgent,3,Not Seen Or Left,Unintentional Falls,Not Admitted,6410,120,2.0,0
2010-2011,2010,Non-urgent,3,Not Seen Or Left,Unintentional Falls,Not Admitted,580,99,1.65,0
2010-2011,2010,Unknown,3,Not Seen Or Left,Unintentional Falls,Not Admitted,86,48,0.8,0
2010-2011,2010,CTAS III - Urgent,3,Total,Acute Myocardial Infarction,Not Admitted,5180,481,8.02,0
2010-2011,2010,Less urgent,3,Total,Acute Myocardial Infarction,Not Admitted,526,364,6.07,0
2010-2011,2010,Non-urgent,3,Total,Acute Myocardial Infarction,Not Admitted,52,161,2.68,0
2010-2011,2010,Unknown,3,Total,Acute Myocardial Infarction,Not Admitted,161,172,2.87,0
2010-2011,2010,CTAS III - Urgent,3,Total,Any,Not Admitted,3064055,195,3.25,0
2010-2011,2010,Less urgent,3,Total,Any,Not Admitted,3088739,108,1.8,0
2010-2011,2010,Non-urgent,3,Total,Any,Not Admitted,737085,70,1.17,0
2010-2011,2010,Unknown,3,Total,Any,Not Admitted,179357,66,1.1,0
2010-2011,2010,CTAS III - Urgent,3,Total,Asthma,Not Admitted,34061,162,2.7,0
2010-2011,2010,Less urgent,3,Total,Asthma,Not Admitted,17674,101,1.68,0
2010-2011,2010,Non-urgent,3,Total,Asthma,Not Admitted,2740,70,1.17,0
2010-2011,2010,Unknown,3,Total,Asthma,Not Admitted,971,73,1.22,0
2010-2011,2010,CTAS III - Urgent,3,Total,Influenzal Pneumonia,Not Admitted,203,199,3.32,0
2010-2011,2010,Less urgent,3,Total,Influenzal Pneumonia,Not Admitted,136,128,2.13,0
2010-2011,2010,Non-urgent,3,Total,Influenzal Pneumonia,Not Admitted,10,117,1.95,0
2010-2011,2010,Unknown,3,Total,Influenzal Pneumonia,Not Admitted,8,138,2.3,0
2010-2011,2010,CTAS III - Urgent,3,Total,Motor Vehicle Collisions,Not Admitted,64853,152,2.53,0
2010-2011,2010,Less urgent,3,Total,Motor Vehicle Collisions,Not Admitted,58298,118,1.97,0
2010-2011,2010,Non-urgent,3,Total,Motor Vehicle Collisions,Not Admitted,5066,90,1.5,0
2010-2011,2010,Unknown,3,Total,Motor Vehicle Collisions,Not Admitted,1796,86,1.43,0
2010-2011,2010,CTAS III - Urgent,3,Total,Pneumonia,Not Admitted,51559,239,3.98,0
2010-2011,2010,Less urgent,3,Total,Pneumonia,Not Admitted,24896,133,2.22,0
2010-2011,2010,Non-urgent,3,Total,Pneumonia,Not Admitted,2487,92,1.53,0
2010-2011,2010,Unknown,3,Total,Pneumonia,Not Admitted,1124,105,1.75,0
2010-2011,2010,CTAS III - Urgent,3,Total,Trauma,Not Admitted,565653,147,2.45,0
2010-2011,2010,Less urgent,3,Total,Trauma,Not Admitted,931289,110,1.83,0
2010-2011,2010,Non-urgent,3,Total,Trauma,Not Admitted,105177,83,1.38,0
2010-2011,2010,Unknown,3,Total,Trauma,Not Admitted,23195,72,1.2,0
2010-2011,2010,CTAS III - Urgent,3,Total,Unintentional Falls,Not Admitted,208304,177,2.95,0
2010-2011,2010,Less urgent,3,Total,Unintentional Falls,Not Admitted,257922,121,2.02,0
2010-2011,2010,Non-urgent,3,Total,Unintentional Falls,Not Admitted,20746,92,1.53,0
2010-2011,2010,Unknown,3,Total,Unintentional Falls,Not Admitted,4649,82,1.37,0
2010-2011,2010,CTAS III - Urgent,3,Transferred,Acute Myocardial Infarction,Not Admitted,864,194,3.23,0
2010-2011,2010,Less urgent,3,Transferred,Acute Myocardial Infarction,Not Admitted,83,238,3.97,0
2010-2011,2010,Non-urgent,3,Transferred,Acute Myocardial Infarction,Not Admitted,7,296,4.93,0
2010-2011,2010,Unknown,3,Transferred,Acute Myocardial Infarction,Not Admitted,60,155,2.58,0
2010-2011,2010,CTAS III - Urgent,3,Transferred,Any,Not Admitted,45331,260,4.33,0
2010-2011,2010,Less urgent,3,Transferred,Any,Not Admitted,13139,210,3.5,0
2010-2011,2010,Non-urgent,3,Transferred,Any,Not Admitted,1697,159,2.65,0
2010-2011,2010,Unknown,3,Transferred,Any,Not Admitted,1702,140,2.33,0
2010-2011,2010,CTAS III - Urgent,3,Transferred,Asthma,Not Admitted,184,300,5.0,0
2010-2011,2010,Less urgent,3,Transferred,Asthma,Not Admitted,19,230,3.83,0
2010-2011,2010,Non-urgent,3,Transferred,Asthma,Not Admitted,0,700,11.67,0
2010-2011,2010,Unknown,3,Transferred,Asthma,Not Admitted,0,418,6.97,0
2010-2011,2010,CTAS III - Urgent,3,Transferred,Influenzal Pneumonia,Not Admitted,0,240,4.0,0
2010-2011,2010,Less urgent,3,Transferred,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2010-2011,2010,Non-urgent,3,Transferred,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2010-2011,2010,Unknown,3,Transferred,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2010-2011,2010,CTAS III - Urgent,3,Transferred,Motor Vehicle Collisions,Not Admitted,1356,196,3.27,0
2010-2011,2010,Less urgent,3,Transferred,Motor Vehicle Collisions,Not Admitted,304,185,3.08,0
2010-2011,2010,Non-urgent,3,Transferred,Motor Vehicle Collisions,Not Admitted,19,124,2.07,0
2010-2011,2010,Unknown,3,Transferred,Motor Vehicle Collisions,Not Admitted,113,136,2.27,0
2010-2011,2010,CTAS III - Urgent,3,Transferred,Pneumonia,Not Admitted,913,274,4.57,0
2010-2011,2010,Less urgent,3,Transferred,Pneumonia,Not Admitted,134,264,4.4,0
2010-2011,2010,Non-urgent,3,Transferred,Pneumonia,Not Admitted,5,90,1.5,0
2010-2011,2010,Unknown,3,Transferred,Pneumonia,Not Admitted,12,220,3.67,0
2010-2011,2010,CTAS III - Urgent,3,Transferred,Trauma,Not Admitted,8794,213,3.55,0
2010-2011,2010,Less urgent,3,Transferred,Trauma,Not Admitted,3204,190,3.17,0
2010-2011,2010,Non-urgent,3,Transferred,Trauma,Not Admitted,266,135,2.25,0
2010-2011,2010,Unknown,3,Transferred,Trauma,Not Admitted,397,140,2.33,0
