fiscal_year,fiscal_year_start,triage_level,ctas_urgency_score,visit_disposition,main_problem,admission_status,ed_visits,median_los_minutes,median_los_hours,admission_flag
2010-2011,2010,Non-urgent,3,Unknown,Unintentional Falls,Not Admitted,0,0,0.0,0
2010-2011,2010,Unknown,3,Unknown,Unintentional Falls,Not Admitted,0,0,0.0,0
2009-2010,2009,CTAS I - Resuscitation,1,Admitted,Acute Myocardial Infarction,Admitted,684,175,2.92,1
2009-2010,2009,CTAS I - Resuscitation,1,Admitted,Any,Admitted,18936,346,5.77,1
2009-2010,2009,CTAS I - Resuscitation,1,Admitted,Asthma,Admitted,349,393,6.55,1
2009-2010,2009,CTAS I - Resuscitation,1,Admitted,Influenzal Pneumonia,Admitted,16,235,3.92,1
2009-2010,2009,CTAS I - Resuscitation,1,Admitted,Motor Vehicle Collisions,Admitted,1470,241,4.02,1
2009-2010,2009,CTAS I - Resuscitation,1,Admitted,Pneumonia,Admitted,726,474,7.9,1
2009-2010,2009,CTAS I - Resuscitation,1,Admitted,Trauma,Admitted,3405,247,4.12,1
2009-2010,2009,CTAS I - Resuscitation,1,Admitted,Unintentional Falls,Admitted,764,297,4.95,1
2009-2010,2009,CTAS I - Resuscitation,1,Death,Acute Myocardial Infarction,Not Admitted,479,21,0.35,0
2009-2010,2009,CTAS I - Resuscitation,1,Death,Any,Not Admitted,4520,24,0.4,0
2009-2010,2009,CTAS I - Resuscitation,1,Death,Asthma,Not Admitted,0,18,0.3,0
2009-2010,2009,CTAS I - Resuscitation,1,Death,Influenzal Pneumonia,Not Admitted,0,35,0.58,0
2009-2010,2009,CTAS I - Resuscitation,1,Death,Motor Vehicle Collisions,Not Admitted,142,23,0.38,0
2009-2010,2009,CTAS I - Resuscitation,1,Death,Pneumonia,Not Admitted,30,125,2.08,0
2009-2010,2009,CTAS I - Resuscitation,1,Death,Trauma,Not Admitted,406,30,0.5,0
2009-2010,2009,CTAS I - Resuscitation,1,Death,Unintentional Falls,Not Admitted,57,140,2.33,0
2009-2010,2009,CTAS I - Resuscitation,1,Discharged Home,Acute Myocardial Infarction,Not Admitted,17,218,3.63,0
2009-2010,2009,CTAS I - Resuscitation,1,Discharged Home,Any,Not Admitted,6893,250,4.17,0
2009-2010,2009,CTAS I - Resuscitation,1,Discharged Home,Asthma,Not Admitted,265,208,3.47,0
2009-2010,2009,CTAS I - Resuscitation,1,Discharged Home,Influenzal Pneumonia,Not Admitted,5,183,3.05,0
2009-2010,2009,CTAS I - Resuscitation,1,Discharged Home,Motor Vehicle Collisions,Not Admitted,363,280,4.67,0
2009-2010,2009,CTAS I - Resuscitation,1,Discharged Home,Pneumonia,Not Admitted,84,282,4.7,0
2009-2010,2009,CTAS I - Resuscitation,1,Discharged Home,Trauma,Not Admitted,1797,235,3.92,0
2009-2010,2009,CTAS I - Resuscitation,1,Discharged Home,Unintentional Falls,Not Admitted,276,238,3.97,0
